CCTV-1综合,rtp://239.253.92.83:8012
CCTV-2财经,rtp://239.253.92.190:6065
CCTV-3综艺,rtp://239.253.92.191:6057
CCTV-4中文国际,rtp://239.253.92.251:6141
CCTV-5体育,rtp://239.253.92.181:6046
CCTV-5+体育赛事,rtp://239.253.92.82:8013
CCTV-6电影,rtp://239.253.92.193:6058
CCTV-7国防军事,rtp://239.253.92.194:6059
CCTV-8电视剧,rtp://239.253.92.195:6060
CCTV-9纪录,rtp://239.253.92.107:6020
CCTV-10科教,rtp://239.253.92.196:6061
CCTV-11戏曲,rtp://239.253.93.153:6321
CCTV-12社会与法,rtp://239.253.92.197:6062
CCTV-13新闻,rtp://239.253.92.13:8008
CCTV-14少儿,rtp://239.253.92.198:6063
CCTV-15音乐,rtp://239.253.93.154:6322
CCTV-16奥林匹克,rtp://239.253.94.35:6635
CCTV-17农业农村,rtp://239.253.93.150:6318
CCTV-4K,rtp://239.253.93.134:6631
CCTV-4K,rtp://239.253.94.43:6468
CCTV-4欧洲,rtp://239.253.93.192:6370
CCTV-4美洲,rtp://239.253.93.193:6371
第一剧场,rtp://239.253.93.138:6428
第一剧场,rtp://239.253.92.18:6079
风云剧场,rtp://239.253.93.251:6429
风云剧场,rtp://239.253.92.22:6073
风云音乐,rtp://239.253.93.253:6431
风云音乐,rtp://239.253.92.111:8060
风云足球,rtp://239.253.93.254:6432
风云足球,rtp://239.253.92.110:8061
世界地理,rtp://239.253.92.131:6113
世界地理,rtp://239.253.92.113:8066
女性时尚,rtp://239.253.92.144:6114
女性时尚,rtp://239.253.92.249:6103
央视文化精品,rtp://239.253.93.175:6439
央视文化精品,rtp://239.253.92.25:6104
怀旧剧场,rtp://239.253.93.252:6430
怀旧剧场,rtp://239.253.92.98:6120
央视台球,rtp://239.253.93.231:6409
高尔夫·网球,rtp://239.253.93.122:6465
高尔夫·网球,rtp://239.253.92.117:8062
兵器科技,rtp://239.253.93.47:6435
兵器科技,rtp://239.253.92.119:8065
卫生健康,rtp://239.253.94.38:6636
电视指南,rtp://239.253.93.249:6427
电视指南,rtp://239.253.92.17:6078
CHC影迷电影,rtp://239.253.92.112:6116
CHC家庭影院,rtp://239.253.92.139:6115
CHC动作电影,rtp://239.253.92.134:6117
中央新影-老故事,rtp://239.253.92.132:8068
中央新影-中学生,rtp://239.253.92.27:6106
中央新影-发现之旅,rtp://239.253.94.30:6629
中国教育1台,rtp://239.253.92.211:6069
中国教育2台,rtp://239.253.92.108:6136
中国教育4台,rtp://239.253.92.200:6137
早期教育,rtp://239.253.93.164:6440
早期教育,rtp://239.253.92.39:6107
CGTN,rtp://239.253.92.15:8011
CGTN-纪录,rtp://239.253.93.195:6373
CGTN-阿拉伯语,rtp://239.253.93.198:6376
CGTN-俄语,rtp://239.253.93.199:6377
CGTN-法语,rtp://239.253.93.197:6375
CGTN-西班牙语,rtp://239.253.93.196:6374
北京卫视,rtp://239.253.92.87:8014
天津卫视,rtp://239.253.92.91:8021
山西卫视,rtp://239.253.92.44:8046
内蒙古卫视,rtp://239.253.92.45:8047
辽宁卫视,rtp://239.253.92.115:6056
吉林卫视,rtp://239.253.92.202:6147
黑龙江卫视,rtp://239.253.92.85:8016
东方卫视,rtp://239.253.92.89:8019
江苏卫视,rtp://239.253.92.88:8018
浙江卫视,rtp://239.253.92.90:8020
安徽卫视,rtp://239.253.92.209:6566
安徽卫视,rtp://239.253.93.90:6256
东南卫视,rtp://239.253.92.201:6146
江西卫视,rtp://239.253.92.19:6145
山东卫视,rtp://239.253.92.207:8109
河南卫视,rtp://239.253.92.137:6144
湖北卫视,rtp://239.253.92.210:6567
湖北卫视,rtp://239.253.93.91:6257
湖南卫视,rtp://239.253.92.84:8015
广东卫视,rtp://239.253.92.206:8108
广西卫视,rtp://239.253.92.76:8043
海南卫视,rtp://239.253.93.155:6323
重庆卫视,rtp://239.253.92.10:6053
四川卫视,rtp://239.253.92.16:6043
贵州卫视,rtp://239.253.92.105:6055
云南卫视,rtp://239.253.92.28:8030
西藏卫视,rtp://239.253.94.57:6639
西藏卫视,rtp://239.253.92.42:8051
陕西卫视,rtp://239.253.92.36:8045
甘肃卫视,rtp://239.253.94.33:6633
青海卫视,rtp://239.253.92.47:8048
宁夏卫视,rtp://239.253.94.60:6642
宁夏卫视,rtp://239.253.92.32:8050
新疆卫视,rtp://239.253.94.58:6640
新疆卫视,rtp://239.253.92.41:8052
兵团卫视,rtp://239.253.94.59:6641
兵团卫视,rtp://239.253.93.176:6344
深圳卫视,rtp://239.253.92.86:8017
三沙卫视,rtp://239.253.94.32:6632
山东教育卫视,rtp://239.253.92.106:6135
凤凰卫视,rtp://239.253.93.82:6248
凤凰资讯,rtp://239.253.93.83:6249
凤凰电影,rtp://239.253.93.81:6247
北京卫视4K,rtp://239.253.94.41:6466
北京卫视4K,rtp://239.253.94.42:6467
广东卫视4K,rtp://239.253.94.56:6585
深圳卫视4K,rtp://239.253.94.55:6584
江苏卫视4K,rtp://239.253.92.116:602
湖南卫视4K,rtp://239.253.93.37:6643
江苏卫视4K,rtp://239.253.93.39:6644
浙江卫视4K,rtp://239.253.93.41:6645
东方卫视4K,rtp://239.253.93.43:6646
四川卫视4K,rtp://239.253.93.45:6647
山东卫视4K,rtp://239.253.93.49:6648
河北卫视,rtp://239.253.92.154:6011
河北经济生活,rtp://239.253.92.171:6001
河北都市,rtp://239.253.92.172:6002
河北影视剧,rtp://239.253.92.173:6003
河北少儿科教,rtp://239.253.92.174:6004
河北文旅公共,rtp://239.253.92.175:6005
河北三佳购物,rtp://239.253.92.24:8130
